company_name,company_name_en,city,province,industry,equipment_type
Шанхай Электрик Групп,Shanghai Electric Group,Shanghai,Shanghai,Industrial Equipment,энергетическое оборудование
Саньи Хэви Индастри,Sany Heavy Industry,Changsha,Hunan,Construction Machinery,строительная техника
Сюгун Групп,XCMG Group,Xuzhou,Jiangsu,Construction Machinery,строительная техника
Зумлион,Zoomlion,Changsha,Hunan,Construction Machinery,строительная техника
Синомач,Sinomach,Beijing,Beijing,Industrial Equipment,станки и оборудование
Харбин Электрик,Harbin Electric Corporation,Harbin,Heilongjiang,Energy Equipment,энергетическое оборудование
Дунфан Электрик,Dongfang Electric Corporation,Chengdu,Sichuan,Energy Equipment,энергетическое оборудование
Вейчай Пауэр,Weichai Power,Weifang,Shandong,Industrial Equipment,двигатели и генераторы
Люгун,Liugong Machinery,Liuzhou,Guangxi,Construction Machinery,строительная техника
Шантуй,Shantui Construction Machinery,Jining,Shandong,Construction Machinery,бульдозеры и техника
Далянь Машин Тул,Dalian Machine Tool Group,Dalian,Liaoning,Industrial Equipment,станки ЧПУ
Циньчуань,Qinchuan Machine Tool,Baoji,Shaanxi,Industrial Equipment,прецизионные станки
Хэнли Гидравлик,Jiangsu Hengli Hydraulic,Liyang,Jiangsu,Industrial Equipment,гидравлическое оборудование
Нанкин Драйв,Nanjing High Accurate Drive,Nanjing,Jiangsu,Industrial Equipment,редукторы и приводы
Чжэцзян Кайда,Zhejiang Kaida Machine Tool,Taizhou,Zhejiang,Industrial Equipment,станки
Хэли Forklift,Anhui Heli,Hefei,Anhui,Industrial Equipment,погрузчики
Ханча Групп,Hangcha Group,Hangzhou,Zhejiang,Industrial Equipment,погрузчики
Шэньян Машин Тул,Shenyang Machine Tool,Shenyang,Liaoning,Industrial Equipment,станки ЧПУ
Хисенс HVAC,Hisense HVAC,Qingdao,Shandong,Industrial Equipment,системы охлаждения
ТБЕА,TBEA Co.,Urumqi,Xinjiang,Energy Equipment,трансформаторы
СиДэ Групп,China XD Group,Xi’an,Shaanxi,Energy Equipment,электрооборудование
Хунду Авиация,Jiangxi Hongdu Aviation,Nanchang,Jiangxi,Industrial Equipment,авиационное оборудование
АВИК Хэви,AVIC Heavy Machinery,Guiyang,Guizhou,Industrial Equipment,тяжелая техника
Тяньвэй,Baoding Tianwei Baobian Electric,Baoding,Hebei,Energy Equipment,трансформаторы
Хайтян,Haitian International Holdings,Ningbo,Zhejiang,Industrial Equipment,литьевые машины
Чен Хсонг,Chen Hsong Holdings,Shenzhen,Guangdong,Industrial Equipment,литьевые машины
Ицзуми,Yizumi Precision Machinery,Foshan,Guangdong,Industrial Equipment,литье и пресс-формы
ЛК Машинери,LK Machinery,Dongguan,Guangdong,Industrial Equipment,литьевые машины
Джинан Машин,Jinan Second Machine Tool,Jinan,Shandong,Industrial Equipment,прессовое оборудование
Янгли Груп,Yangli Group,Yangzhou,Jiangsu,Industrial Equipment,металлообработка
Уорлд Машин,World Group Machine,Nantong,Jiangsu,Industrial Equipment,прессовое оборудование
Нинбо Хайтян,Ningbo Haitian Precision,Ningbo,Zhejiang,Industrial Equipment,станки ЧПУ
Сучжоу Хэлианг,Suzhou Hailiang Machinery,Suzhou,Jiangsu,Industrial Equipment,промышленное оборудование
Уси Машин Тул,Wuxi Machine Tools,Wuxi,Jiangsu,Industrial Equipment,шлифовальные станки
Чанчжоу ЧПУ,Changzhou CNC Machine Tool,Changzhou,Jiangsu,Industrial Equipment,станки ЧПУ
Рифа,RIFA Precision Machinery,Shaoxing,Zhejiang,Industrial Equipment,текстильное оборудование
Циндао Текстиль,Qingdao Textile Machinery,Qingdao,Shandong,Industrial Equipment,текстильное оборудование
Цзингун,Jinggong Science,Shaoxing,Zhejiang,Industrial Equipment,углеродные материалы оборудование
Вэйда,Shandong Weida Machinery,Weihai,Shandong,Industrial Equipment,буровое оборудование
Три-Ринг,Hubei Tri-Ring,Wuhan,Hubei,Industrial Equipment,автопром оборудование
Вухан Бойлер,Wuhan Boiler Company,Wuhan,Hubei,Energy Equipment,котельное оборудование
Фанъюань,Jiangsu Fangyuan Machinery,Yancheng,Jiangsu,Industrial Equipment,сельхоз техника
Зумлион Экология,Zoomlion Environmental,Changsha,Hunan,Industrial Equipment,экологическое оборудование
Фотон Ловол,Foton Lovol,Weifang,Shandong,Industrial Equipment,сельхоз техника
ЙТО,YTO Group Corporation,Luoyang,Henan,Industrial Equipment,тракторы
КАМС,China CAMC Engineering,Maanshan,Anhui,Industrial Equipment,инженерное оборудование
Синотрак,Sinotruk Heavy Machinery,Jinan,Shandong,Industrial Equipment,грузовая техника
Первая Машиностроительная,Inner Mongolia First Machinery,Baotou,Inner Mongolia,Industrial Equipment,военное оборудование
Сиань Майнинг,Xi’an Coal Mining Machinery,Xi’an,Shaanxi,Industrial Equipment,горнодобывающее оборудование
Тайюань Хэви,Taiyuan Heavy Machinery,Taiyuan,Shanxi,Industrial Equipment,горное оборудование
