product_id,model,year,month,forecast_qty
1,KS-7A,2025,1,8
2,KS-15A,2025,1,3
3,KS-37A,2025,1,1
4,VS-10,2025,1,6
5,VS-22,2025,1,2
6,TH-100,2025,1,15
7,DA-7A,2025,1,9
8,DA-22A,2025,1,3
9,DNA-37,2025,1,1
10,DNA-75,2025,1,0
11,JC-7.5,2025,1,16
12,JC-22S,2025,1,2
13,VS-10,2025,1,6
14,VS-22,2025,1,2
15,TH-100,2025,1,16
16,KS-7A,2025,1,9
17,KS-15A,2025,1,3
18,KS-37A,2025,1,1
19,JC-7.5,2025,1,16
20,JC-22S,2025,1,2
21,SC-5.5,2025,1,19
22,SC-18S,2025,1,3
23,SC-55S,2025,1,0
24,KS-7A,2025,1,8
25,KS-15A,2025,1,3
26,KS-37A,2025,1,1
27,DA-7A,2025,1,10
28,DA-22A,2025,1,3
29,DNA-37,2025,1,1
30,DNA-75,2025,1,0
1,KS-7A,2025,2,9
2,KS-15A,2025,2,3
3,KS-37A,2025,2,1
4,VS-10,2025,2,7
5,VS-22,2025,2,2
6,TH-100,2025,2,15
7,DA-7A,2025,2,10
8,DA-22A,2025,2,3
9,DNA-37,2025,2,1
10,DNA-75,2025,2,0
11,JC-7.5,2025,2,18
12,JC-22S,2025,2,2
13,VS-10,2025,2,7
14,VS-22,2025,2,2
15,TH-100,2025,2,17
16,KS-7A,2025,2,9
17,KS-15A,2025,2,3
18,KS-37A,2025,2,1
19,JC-7.5,2025,2,17
20,JC-22S,2025,2,2
21,SC-5.5,2025,2,19
22,SC-18S,2025,2,3
23,SC-55S,2025,2,0
24,KS-7A,2025,2,9
25,KS-15A,2025,2,3
26,KS-37A,2025,2,1
27,DA-7A,2025,2,10
28,DA-22A,2025,2,3
29,DNA-37,2025,2,1
30,DNA-75,2025,2,0
1,KS-7A,2025,3,10
2,KS-15A,2025,3,5
3,KS-37A,2025,3,2
4,VS-10,2025,3,8
5,VS-22,2025,3,2
6,TH-100,2025,3,17
7,DA-7A,2025,3,11
8,DA-22A,2025,3,4
9,DNA-37,2025,3,1
10,DNA-75,2025,3,0
11,JC-7.5,2025,3,18
12,JC-22S,2025,3,2
13,VS-10,2025,3,8
14,VS-22,2025,3,2
15,TH-100,2025,3,20
16,KS-7A,2025,3,10
17,KS-15A,2025,3,4
18,KS-37A,2025,3,2
19,JC-7.5,2025,3,19
20,JC-22S,2025,3,2
21,SC-5.5,2025,3,20
22,SC-18S,2025,3,4
23,SC-55S,2025,3,0
24,KS-7A,2025,3,9
25,KS-15A,2025,3,4
26,KS-37A,2025,3,2
27,DA-7A,2025,3,12
28,DA-22A,2025,3,4
29,DNA-37,2025,3,1
30,DNA-75,2025,3,0
1,KS-7A,2025,4,12
2,KS-15A,2025,4,7
3,KS-37A,2025,4,2
4,VS-10,2025,4,10
5,VS-22,2025,4,4
6,TH-100,2025,4,26
7,DA-7A,2025,4,13
8,DA-22A,2025,4,5
9,DNA-37,2025,4,1
10,DNA-75,2025,4,0
11,JC-7.5,2025,4,27
12,JC-22S,2025,4,4
13,VS-10,2025,4,10
14,VS-22,2025,4,4
15,TH-100,2025,4,29
16,KS-7A,2025,4,12
17,KS-15A,2025,4,6
18,KS-37A,2025,4,3
19,JC-7.5,2025,4,28
20,JC-22S,2025,4,4
21,SC-5.5,2025,4,34
22,SC-18S,2025,4,5
23,SC-55S,2025,4,0
24,KS-7A,2025,4,12
25,KS-15A,2025,4,6
26,KS-37A,2025,4,2
27,DA-7A,2025,4,13
28,DA-22A,2025,4,5
29,DNA-37,2025,4,1
30,DNA-75,2025,4,0
1,KS-7A,2025,5,13
2,KS-15A,2025,5,7
3,KS-37A,2025,5,2
4,VS-10,2025,5,11
5,VS-22,2025,5,4
6,TH-100,2025,5,26
7,DA-7A,2025,5,14
8,DA-22A,2025,5,5
9,DNA-37,2025,5,2
10,DNA-75,2025,5,0
11,JC-7.5,2025,5,28
12,JC-22S,2025,5,4
13,VS-10,2025,5,11
14,VS-22,2025,5,4
15,TH-100,2025,5,29
16,KS-7A,2025,5,13
17,KS-15A,2025,5,7
18,KS-37A,2025,5,3
19,JC-7.5,2025,5,28
20,JC-22S,2025,5,4
21,SC-5.5,2025,5,34
22,SC-18S,2025,5,5
23,SC-55S,2025,5,0
24,KS-7A,2025,5,13
25,KS-15A,2025,5,7
26,KS-37A,2025,5,3
27,DA-7A,2025,5,13
28,DA-22A,2025,5,5
29,DNA-37,2025,5,2
30,DNA-75,2025,5,0
1,KS-7A,2025,6,13
2,KS-15A,2025,6,7
3,KS-37A,2025,6,3
4,VS-10,2025,6,12
5,VS-22,2025,6,4
6,TH-100,2025,6,26
7,DA-7A,2025,6,14
8,DA-22A,2025,6,6
9,DNA-37,2025,6,2
10,DNA-75,2025,6,0
11,JC-7.5,2025,6,28
12,JC-22S,2025,6,4
13,VS-10,2025,6,11
14,VS-22,2025,6,4
15,TH-100,2025,6,28
16,KS-7A,2025,6,13
17,KS-15A,2025,6,7
18,KS-37A,2025,6,3
19,JC-7.5,2025,6,28
20,JC-22S,2025,6,4
21,SC-5.5,2025,6,35
22,SC-18S,2025,6,6
23,SC-55S,2025,6,0
24,KS-7A,2025,6,13
25,KS-15A,2025,6,7
26,KS-37A,2025,6,3
27,DA-7A,2025,6,14
28,DA-22A,2025,6,6
29,DNA-37,2025,6,2
30,DNA-75,2025,6,0
