product_id,supplier_id,model,product_type,pressure_bar,power_kw,capacity_m3min,price_usd
1,1,KS-7A,Screw,8.0,7.5,1.1,1800.0
2,1,KS-15A,Screw,10.0,15.0,2.3,3200.0
3,1,KS-37A,Screw,13.0,37.0,5.8,6500.0
4,2,VS-10,Screw,8.0,11.0,1.65,2200.0
5,2,VS-22,Screw,10.0,22.0,3.5,4100.0
6,2,TH-100,Piston,16.0,7.5,0.6,950.0
7,3,DA-7A,Screw,7.0,7.5,1.2,1650.0
8,3,DA-22A,Screw,10.0,22.0,3.6,3900.0
9,3,DNA-37,Variable,13.0,37.0,6.2,8200.0
10,3,DNA-75,Variable,13.0,75.0,13.0,15500.0
11,4,JC-7.5,Piston,8.0,7.5,0.9,880.0
12,4,JC-22S,Screw,10.0,22.0,3.7,4300.0
13,5,VS-10,Screw,8.0,11.0,1.65,2200.0
14,5,VS-22,Screw,10.0,22.0,3.5,4100.0
15,5,TH-100,Piston,16.0,7.5,0.6,950.0
16,6,KS-7A,Screw,8.0,7.5,1.1,1800.0
17,6,KS-15A,Screw,10.0,15.0,2.3,3200.0
18,6,KS-37A,Screw,13.0,37.0,5.8,6500.0
19,7,JC-7.5,Piston,8.0,7.5,0.9,880.0
20,7,JC-22S,Screw,10.0,22.0,3.7,4300.0
21,8,SC-5.5,Piston,8.0,5.5,0.72,780.0
22,8,SC-18S,Screw,10.0,18.5,3.0,3400.0
23,8,SC-55S,Screw,13.0,55.0,9.5,11000.0
24,9,KS-7A,Screw,8.0,7.5,1.1,1800.0
25,9,KS-15A,Screw,10.0,15.0,2.3,3200.0
26,9,KS-37A,Screw,13.0,37.0,5.8,6500.0
27,10,DA-7A,Screw,7.0,7.5,1.2,1650.0
28,10,DA-22A,Screw,10.0,22.0,3.6,3900.0
29,10,DNA-37,Variable,13.0,37.0,6.2,8200.0
30,10,DNA-75,Variable,13.0,75.0,13.0,15500.0
