sale_id,product_id,supplier_id,model,product_type,price_usd,year,month,sales_qty,revenue_usd,lead_time_days
1,1,1,KS-7A,Screw,1800.0,2022,1,6,10800.0,50
2,1,1,KS-7A,Screw,1800.0,2022,2,9,16200.0,29
3,1,1,KS-7A,Screw,1800.0,2022,3,10,18000.0,52
4,1,1,KS-7A,Screw,1800.0,2022,4,12,21600.0,29
5,1,1,KS-7A,Screw,1800.0,2022,5,10,18000.0,15
6,1,1,KS-7A,Screw,1800.0,2022,6,10,18000.0,19
7,1,1,KS-7A,Screw,1800.0,2022,7,9,16200.0,60
8,1,1,KS-7A,Screw,1800.0,2022,8,14,25200.0,55
9,1,1,KS-7A,Screw,1800.0,2022,9,12,21600.0,18
10,1,1,KS-7A,Screw,1800.0,2022,10,11,19800.0,29
11,1,1,KS-7A,Screw,1800.0,2022,11,6,10800.0,19
12,1,1,KS-7A,Screw,1800.0,2022,12,10,18000.0,17
13,1,1,KS-7A,Screw,1800.0,2023,1,9,16200.0,36
14,1,1,KS-7A,Screw,1800.0,2023,2,6,10800.0,19
15,1,1,KS-7A,Screw,1800.0,2023,3,7,12600.0,47
16,1,1,KS-7A,Screw,1800.0,2023,4,10,18000.0,30
17,1,1,KS-7A,Screw,1800.0,2023,5,12,21600.0,32
18,1,1,KS-7A,Screw,1800.0,2023,6,14,25200.0,57
19,1,1,KS-7A,Screw,1800.0,2023,7,12,21600.0,46
20,1,1,KS-7A,Screw,1800.0,2023,8,11,19800.0,28
21,1,1,KS-7A,Screw,1800.0,2023,9,12,21600.0,49
22,1,1,KS-7A,Screw,1800.0,2023,10,8,14400.0,23
23,1,1,KS-7A,Screw,1800.0,2023,11,8,14400.0,61
24,1,1,KS-7A,Screw,1800.0,2023,12,7,12600.0,51
25,1,1,KS-7A,Screw,1800.0,2024,1,7,12600.0,51
26,1,1,KS-7A,Screw,1800.0,2024,2,9,16200.0,45
27,1,1,KS-7A,Screw,1800.0,2024,3,8,14400.0,30
28,1,1,KS-7A,Screw,1800.0,2024,4,13,23400.0,65
29,1,1,KS-7A,Screw,1800.0,2024,5,15,27000.0,45
30,1,1,KS-7A,Screw,1800.0,2024,6,11,19800.0,41
31,1,1,KS-7A,Screw,1800.0,2024,7,14,25200.0,27
32,1,1,KS-7A,Screw,1800.0,2024,8,10,18000.0,21
33,1,1,KS-7A,Screw,1800.0,2024,9,9,16200.0,21
34,1,1,KS-7A,Screw,1800.0,2024,10,14,25200.0,57
35,1,1,KS-7A,Screw,1800.0,2024,11,13,23400.0,42
