supplier_id,product_id,moq,lead_time_days,shipping_terms,warranty_months,incoterm_port
1,1,9,25,EXW,12,Tianjin
1,2,4,23,FOB,36,Shanghai
1,3,4,31,EXW,12,Shenzhen
2,4,4,27,FOB,36,Ningbo
2,5,4,38,CIF,12,Shanghai
2,6,6,24,FOB,12,Shanghai
3,7,9,23,DAP,36,Tianjin
3,8,4,31,CIF,36,Shanghai
3,9,3,37,CIF,12,Shenzhen
3,10,2,47,CIF,36,Shanghai
4,11,6,16,EXW,36,Guangzhou
4,12,2,26,EXW,12,Shenzhen
5,13,9,35,DAP,12,Guangzhou
5,14,3,27,EXW,36,Ningbo
5,15,9,26,CIF,12,Ningbo
6,16,10,17,FOB,12,Tianjin
6,17,3,45,DAP,12,Shenzhen
6,18,5,39,DAP,36,Ningbo
7,19,3,18,EXW,36,Shanghai
7,20,4,33,CIF,36,Shanghai
8,21,7,31,CIF,12,Guangzhou
8,22,3,24,EXW,12,Ningbo
8,23,3,30,EXW,36,Shanghai
9,24,4,26,EXW,12,Shanghai
9,25,3,38,FOB,12,Shenzhen
9,26,2,44,CIF,12,Shenzhen
10,27,5,23,DAP,12,Ningbo
10,28,3,42,EXW,36,Guangzhou
10,29,5,36,DAP,12,Tianjin
10,30,1,34,EXW,12,Ningbo
